Condition,GroupPair,StartStruc,Session,Generation,Height
Gr-C,Group,Complex,6,1,45.5
Gr-C,Group,Complex,7,1,45
Gr-C,Group,Complex,13,1,23
Gr-C,Group,Complex,15,1,49
Gr-C,Group,Complex,21,1,82
Gr-C,Group,Complex,23,1,25
Gr-C,Group,Complex,25,1,46
Gr-S,Group,Simple,8,1,49
Gr-S,Group,Simple,18,1,80
Gr-S,Group,Simple,20,1,78
Gr-S,Group,Simple,24,1,102
Pr-C,Pair,Complex,4,1,22.5
Pr-C,Pair,Complex,9,1,24
Pr-C,Pair,Complex,17,1,21.5
Pr-C,Pair,Complex,29,1,44
Pr-C,Pair,Complex,31,1,49
Pr-C,Pair,Complex,33,1,24
Pr-C,Pair,Complex,36,1,49
Pr-C,Pair,Complex,38,1,53
Pr-C,Pair,Complex,40,1,29
Pr-S,Pair,Simple,5,1,79
Pr-S,Pair,Simple,26,1,51
Pr-S,Pair,Simple,28,1,81
Pr-S,Pair,Simple,30,1,55
Pr-S,Pair,Simple,32,1,79
Pr-S,Pair,Simple,34,1,104
Pr-S,Pair,Simple,35,1,106
Pr-S,Pair,Simple,41,1,23.5
Gr-C,Group,Complex,7,2,31
Gr-C,Group,Complex,15,2,76
Gr-C,Group,Complex,19,2,76
Gr-C,Group,Complex,21,2,83
Gr-C,Group,Complex,23,2,70
Gr-S,Group,Simple,8,2,105
Gr-S,Group,Simple,14,2,48
Gr-S,Group,Simple,16,2,78
Gr-S,Group,Simple,22,2,53
Gr-S,Group,Simple,24,2,81
Pr-C,Pair,Complex,4,2,77
Pr-C,Pair,Complex,9,2,48
Pr-C,Pair,Complex,17,2,48
Pr-C,Pair,Complex,31,2,77
Pr-C,Pair,Complex,33,2,45
Pr-C,Pair,Complex,36,2,73
Pr-C,Pair,Complex,37,2,47
Pr-C,Pair,Complex,38,2,31
Pr-C,Pair,Complex,40,2,30
Pr-S,Pair,Simple,5,2,81
Pr-S,Pair,Simple,26,2,52.5
Pr-S,Pair,Simple,28,2,87.5
Pr-S,Pair,Simple,34,2,107
Pr-S,Pair,Simple,41,2,71
Gr-C,Group,Complex,6,3,55
Gr-C,Group,Complex,7,3,27.5
Gr-C,Group,Complex,11,3,77
Gr-C,Group,Complex,13,3,51
Gr-C,Group,Complex,15,3,77
Gr-C,Group,Complex,21,3,105
Gr-C,Group,Complex,23,3,81.5
Gr-C,Group,Complex,25,3,77
Gr-S,Group,Simple,12,3,75
Gr-S,Group,Simple,18,3,107
Gr-S,Group,Simple,20,3,81
Gr-S,Group,Simple,24,3,106
Pr-C,Pair,Complex,17,3,22
Pr-C,Pair,Complex,29,3,23
Pr-C,Pair,Complex,31,3,70
Pr-C,Pair,Complex,33,3,96
Pr-C,Pair,Complex,37,3,47
Pr-C,Pair,Complex,38,3,75
Pr-C,Pair,Complex,40,3,80
Pr-S,Pair,Simple,2,3,80
Pr-S,Pair,Simple,5,3,95.5
Pr-S,Pair,Simple,28,3,105
Pr-S,Pair,Simple,30,3,81
Pr-S,Pair,Simple,32,3,80
Pr-S,Pair,Simple,34,3,107
Pr-S,Pair,Simple,39,3,80
Pr-S,Pair,Simple,41,3,70
Gr-C,Group,Complex,6,4,78
Gr-C,Group,Complex,7,4,59
Gr-C,Group,Complex,11,4,80
Gr-C,Group,Complex,13,4,57
Gr-C,Group,Complex,15,4,78
Gr-C,Group,Complex,19,4,100
Gr-C,Group,Complex,25,4,91
Gr-S,Group,Simple,8,4,80.5
Gr-S,Group,Simple,10,4,103
Gr-S,Group,Simple,12,4,97
Gr-S,Group,Simple,14,4,69
Gr-S,Group,Simple,20,4,105
Gr-S,Group,Simple,42,4,67.5
Pr-C,Pair,Complex,4,4,104
