Session,Condition,Generation,Height
P1,Pair,1,29
P2,Pair,1,96
P3,Pair,1,53.5
P4,Pair,1,30
P5,Pair,1,55.5
P6,Pair,1,6
P7,Pair,1,75.6
P8,Pair,1,26
P9,Pair,1,24.4
P10,Pair,1,52
Pex,Pair,1,57
Y90111,Pair,1,31
P1,Pair,2,54.5
P2,Pair,2,53.5
P3,Pair,2,54
P4,Pair,2,43.2
P5,Pair,2,85
P6,Pair,2,32
P7,Pair,2,50.3
P8,Pair,2,46
P9,Pair,2,20
P10,Pair,2,54
Pex,Pair,2,53
Y90111,Pair,2,55
P1,Pair,3,52.5
P2,Pair,3,99
P3,Pair,3,84.5
P4,Pair,3,41.2
P5,Pair,3,85
P6,Pair,3,56
P7,Pair,3,7.9
P8,Pair,3,75
P9,Pair,3,12.9
P10,Pair,3,55
Pex,Pair,3,53.5
Y90111,Pair,3,81
P1,Pair,4,54
P2,Pair,4,79
P3,Pair,4,65
P4,Pair,4,61.4
P5,Pair,4,38
P6,Pair,4,20
P7,Pair,4,28
P8,Pair,4,73
P9,Pair,4,25.3
P10,Pair,4,83
Pex,Pair,4,60
Y90111,Pair,4,83
P1,Pair,5,54
P2,Pair,5,52.5
P3,Pair,5,108
P4,Pair,5,9.5
P5,Pair,5,37.5
P6,Pair,5,63
P7,Pair,5,98.5
P8,Pair,5,45
P9,Pair,5,12.6
P10,Pair,5,33
Pex,Pair,5,22
Y90111,Pair,5,33
P1,Pair,6,28
P2,Pair,6,52.5
P3,Pair,6,83.5
P4,Pair,6,51.7
P5,Pair,6,70.5
P6,Pair,6,85
P7,Pair,6,97.7
P8,Pair,6,28
P9,Pair,6,46.6
P10,Pair,6,83
Pex,Pair,6,109.2
Y90111,Pair,6,33
G1,Group,1,4
G2,Group,1,26.3
G3,Group,1,56.3
G4,Group,1,26.6
G5,Group,1,38
G6,Group,1,53.5
G7,Group,1,4.5
G1,Group,2,52
G2,Group,2,52.8
G3,Group,2,43.5
G4,Group,2,56.5
G5,Group,2,59
G6,Group,2,73
G7,Group,2,25.8
G1,Group,3,79
G2,Group,3,24
G3,Group,3,57
G4,Group,3,74.2
G5,Group,3,5
G6,Group,3,53.5
G7,Group,3,25
G1,Group,4,100
G2,Group,4,39
G3,Group,4,56.5
G4,Group,4,45.2
G5,Group,4,54
G6,Group,4,40.2
G7,Group,4,78.5
G1,Group,5,40
G2,Group,5,78
G3,Group,5,104
G4,Group,5,31
G5,Group,5,80
G6,Group,5,88.4
G7,Group,5,55.3
G1,Group,6,55
G2,Group,6,28
G3,Group,6,80.5
G4,Group,6,79
G5,Group,6,78
G6,Group,6,78.6
G7,Group,6,54.8
