"","PhotoID","Condition","Generation","First","Second","ID","Rating"
"1",286,"Pair",1,"p1-1-1","p2-1-1",1,1
"2",286,"Pair",1,"p1-1-1","p2-1-1",4,3
"3",286,"Pair",1,"p1-1-1","p2-1-1",9,2
"4",286,"Pair",1,"p1-1-1","p2-1-1",10,3
"5",286,"Pair",1,"p1-1-1","p2-1-1",13,2
"6",286,"Pair",1,"p1-1-1","p2-1-1",18,2
"7",286,"Pair",1,"p1-1-1","p2-1-1",21,4
"8",286,"Pair",1,"p1-1-1","p2-1-1",23,1
"9",286,"Pair",1,"p1-1-1","p2-1-1",27,2
"10",286,"Pair",1,"p1-1-1","p2-1-1",29,2
"11",287,"Pair",1,"p1-1-1","p3-1-1",2,1
"12",287,"Pair",1,"p1-1-1","p3-1-1",5,1
"13",287,"Pair",1,"p1-1-1","p3-1-1",8,1
"14",287,"Pair",1,"p1-1-1","p3-1-1",10,2
"15",287,"Pair",1,"p1-1-1","p3-1-1",14,1
"16",287,"Pair",1,"p1-1-1","p3-1-1",17,1
"17",287,"Pair",1,"p1-1-1","p3-1-1",19,1
"18",287,"Pair",1,"p1-1-1","p3-1-1",22,1
"19",287,"Pair",1,"p1-1-1","p3-1-1",26,3
"20",287,"Pair",1,"p1-1-1","p3-1-1",30,2
"21",288,"Pair",1,"p1-1-1","p4-1-1",2,4
"22",288,"Pair",1,"p1-1-1","p4-1-1",5,3
"23",288,"Pair",1,"p1-1-1","p4-1-1",7,4
"24",288,"Pair",1,"p1-1-1","p4-1-1",11,1
"25",288,"Pair",1,"p1-1-1","p4-1-1",14,3
"26",288,"Pair",1,"p1-1-1","p4-1-1",16,4
"27",288,"Pair",1,"p1-1-1","p4-1-1",20,4
"28",288,"Pair",1,"p1-1-1","p4-1-1",22,5
"29",288,"Pair",1,"p1-1-1","p4-1-1",25,1
"30",288,"Pair",1,"p1-1-1","p4-1-1",30,3
"31",289,"Pair",1,"p1-1-1","p5-1-1",3,1
"32",289,"Pair",1,"p1-1-1","p5-1-1",6,1
"33",289,"Pair",1,"p1-1-1","p5-1-1",8,1
"34",289,"Pair",1,"p1-1-1","p5-1-1",11,1
"35",289,"Pair",1,"p1-1-1","p5-1-1",15,2
"36",289,"Pair",1,"p1-1-1","p5-1-1",18,1
"37",289,"Pair",1,"p1-1-1","p5-1-1",19,1
"38",289,"Pair",1,"p1-1-1","p5-1-1",23,1
"39",289,"Pair",1,"p1-1-1","p5-1-1",25,1
"40",289,"Pair",1,"p1-1-1","p5-1-1",30,1
"41",290,"Pair",1,"p1-1-1","p7-1-1",3,3
"42",290,"Pair",1,"p1-1-1","p7-1-1",6,2
"43",290,"Pair",1,"p1-1-1","p7-1-1",9,2
"44",290,"Pair",1,"p1-1-1","p7-1-1",12,3
"45",290,"Pair",1,"p1-1-1","p7-1-1",15,3
"46",290,"Pair",1,"p1-1-1","p7-1-1",18,3
"47",290,"Pair",1,"p1-1-1","p7-1-1",19,2
"48",290,"Pair",1,"p1-1-1","p7-1-1",23,2
"49",290,"Pair",1,"p1-1-1","p7-1-1",26,3
"50",290,"Pair",1,"p1-1-1","p7-1-1",29,2
"51",291,"Pair",1,"p1-1-1","p8-1-1",3,3
"52",291,"Pair",1,"p1-1-1","p8-1-1",6,1
"53",291,"Pair",1,"p1-1-1","p8-1-1",7,3
"54",291,"Pair",1,"p1-1-1","p8-1-1",11,1
"55",291,"Pair",1,"p1-1-1","p8-1-1",15,2
"56",291,"Pair",1,"p1-1-1","p8-1-1",16,1
"57",291,"Pair",1,"p1-1-1","p8-1-1",21,1
"58",291,"Pair",1,"p1-1-1","p8-1-1",24,2
"59",291,"Pair",1,"p1-1-1","p8-1-1",25,1
"60",291,"Pair",1,"p1-1-1","p8-1-1",29,1
"61",292,"Pair",1,"p1-1-1","p9-1-1",1,4
"62",292,"Pair",1,"p1-1-1","p9-1-1",4,4
"63",292,"Pair",1,"p1-1-1","p9-1-1",8,5
"64",292,"Pair",1,"p1-1-1","p9-1-1",12,4
"65",292,"Pair",1,"p1-1-1","p9-1-1",13,4
"66",292,"Pair",1,"p1-1-1","p9-1-1",16,5
"67",292,"Pair",1,"p1-1-1","p9-1-1",21,5
"68",292,"Pair",1,"p1-1-1","p9-1-1",23,3
"69",292,"Pair",1,"p1-1-1","p9-1-1",25,4
"70",292,"Pair",1,"p1-1-1","p9-1-1",29,5
"71",293,"Pair",1,"p1-1-1","p10-1-1",2,4
"72",293,"Pair",1,"p1-1-1","p10-1-1",5,3
"73",293,"Pair",1,"p1-1-1","p10-1-1",9,4
"74",293,"Pair",1,"p1-1-1","p10-1-1",11,4
"75",293,"Pair",1,"p1-1-1","p10-1-1",14,4
"76",293,"Pair",1,"p1-1-1","p10-1-1",18,3
"77",293,"Pair",1,"p1-1-1","p10-1-1",19,4
"78",293,"Pair",1,"p1-1-1","p10-1-1",24,4
"79",293,"Pair",1,"p1-1-1","p10-1-1",25,4
"80",293,"Pair",1,"p1-1-1","p10-1-1",29,4
"81",294,"Pair",1,"p1-1-1","PEX11-1-1",1,3
"82",294,"Pair",1,"p1-1-1","PEX11-1-1",4,2
"83",294,"Pair",1,"p1-1-1","PEX11-1-1",9,3
"84",294,"Pair",1,"p1-1-1","PEX11-1-1",12,3
"85",294,"Pair",1,"p1-1-1","PEX11-1-1",13,3
"86",294,"Pair",1,"p1-1-1","PEX11-1-1",16,2
"87",294,"Pair",1,"p1-1-1","PEX11-1-1",21,3
"88",294,"Pair",1,"p1-1-1","PEX11-1-1",23,3
"89",294,"Pair",1,"p1-1-1","PEX11-1-1",25,2
"90",294,"Pair",1,"p1-1-1","PEX11-1-1",30,4
"91",295,"Pair",1,"p1-1-1","Y9011112-1-1",2,4
"92",295,"Pair",1,"p1-1-1","Y9011112-1-1",5,5
"93",295,"Pair",1,"p1-1-1","Y9011112-1-1",9,3
"94",295,"Pair",1,"p1-1-1","Y9011112-1-1",12,5
"95",295,"Pair",1,"p1-1-1","Y9011112-1-1",14,4
"96",295,"Pair",1,"p1-1-1","Y9011112-1-1",16,4
"97",295,"Pair",1,"p1-1-1","Y9011112-1-1",20,4
"98",295,"Pair",1,"p1-1-1","Y9011112-1-1",23,3
"99",295,"Pair",1,"p1-1-1","Y9011112-1-1",26,5
"100",295,"Pair",1,"p1-1-1","Y9011112-1-1",28,4
"101",296,"Pair",1,"p2-1-1","p3-1-1",1,2
"102",296,"Pair",1,"p2-1-1","p3-1-1",4,2
"103",296,"Pair",1,"p2-1-1","p3-1-1",8,2
"104",296,"Pair",1,"p2-1-1","p3-1-1",11,1
"105",296,"Pair",1,"p2-1-1","p3-1-1",13,2
"106",296,"Pair",1,"p2-1-1","p3-1-1",17,3
"107",296,"Pair",1,"p2-1-1","p3-1-1",21,3
"108",296,"Pair",1,"p2-1-1","p3-1-1",24,3
