"","ID","Condition","Generation","Height"
"1","P1","Pair",1,29
"2","P2","Pair",1,96
"3","P3","Pair",1,53.5
"4","P4","Pair",1,30
"5","P5","Pair",1,55.5
"6","P6","Pair",1,6
"7","P7","Pair",1,75.6
"8","P8","Pair",1,26
"9","P9","Pair",1,24.4
"10","P10","Pair",1,52
"11","Pex","Pair",1,57
"12","Y90111","Pair",1,31
"13","G1","Group",1,4
"14","G2","Group",1,26.3
"15","G3","Group",1,56.3
"16","G4","Group",1,26.6
"17","G5","Group",1,38
"18","G6","Group",1,53.5
"19","G7","Group",1,4.5
"20","P1","Pair",2,54.5
"21","P2","Pair",2,53.5
"22","P3","Pair",2,54
"23","P4","Pair",2,43.2
"24","P5","Pair",2,85
"25","P6","Pair",2,32
"26","P7","Pair",2,50.3
"27","P8","Pair",2,46
"28","P9","Pair",2,20
"29","P10","Pair",2,54
"30","Pex","Pair",2,53
"31","Y90111","Pair",2,55
"32","G1","Group",2,52
"33","G2","Group",2,52.8
"34","G3","Group",2,43.5
"35","G4","Group",2,56.5
"36","G5","Group",2,59
"37","G6","Group",2,73
"38","G7","Group",2,25.8
"39","P1","Pair",3,52.5
"40","P2","Pair",3,99
"41","P3","Pair",3,84.5
"42","P4","Pair",3,41.2
"43","P5","Pair",3,85
"44","P6","Pair",3,56
"45","P7","Pair",3,7.9
"46","P8","Pair",3,75
"47","P9","Pair",3,12.9
"48","P10","Pair",3,55
"49","Pex","Pair",3,53.5
"50","Y90111","Pair",3,81
"51","G1","Group",3,79
"52","G2","Group",3,24
"53","G3","Group",3,57
"54","G4","Group",3,74.2
"55","G5","Group",3,5
"56","G6","Group",3,53.5
"57","G7","Group",3,25
"58","P1","Pair",4,54
"59","P2","Pair",4,79
"60","P3","Pair",4,65
"61","P4","Pair",4,61.4
"62","P5","Pair",4,38
"63","P6","Pair",4,20
"64","P7","Pair",4,28
"65","P8","Pair",4,73
"66","P9","Pair",4,25.3
"67","P10","Pair",4,83
"68","Pex","Pair",4,60
"69","Y90111","Pair",4,83
"70","G1","Group",4,100
"71","G2","Group",4,39
"72","G3","Group",4,56.5
"73","G4","Group",4,45.2
"74","G5","Group",4,54
"75","G6","Group",4,40.2
"76","G7","Group",4,78.5
"77","P1","Pair",5,54
"78","P2","Pair",5,52.5
"79","P3","Pair",5,108
"80","P4","Pair",5,9.5
"81","P5","Pair",5,37.5
"82","P6","Pair",5,63
"83","P7","Pair",5,98.5
"84","P8","Pair",5,45
"85","P9","Pair",5,12.6
"86","P10","Pair",5,33
"87","Pex","Pair",5,22
"88","Y90111","Pair",5,33
"89","G1","Group",5,40
"90","G2","Group",5,78
"91","G3","Group",5,104
"92","G4","Group",5,31
"93","G5","Group",5,80
"94","G6","Group",5,88.4
"95","G7","Group",5,55.3
"96","P1","Pair",6,28
"97","P2","Pair",6,52.5
"98","P3","Pair",6,83.5
"99","P4","Pair",6,51.7
"100","P5","Pair",6,70.5
"101","P6","Pair",6,85
"102","P7","Pair",6,97.7
"103","P8","Pair",6,28
"104","P9","Pair",6,46.6
"105","P10","Pair",6,83
"106","Pex","Pair",6,109.2
"107","Y90111","Pair",6,33
"108","G1","Group",6,55
"109","G2","Group",6,28
"110","G3","Group",6,80.5
"111","G4","Group",6,79
"112","G5","Group",6,78
"113","G6","Group",6,78.6
"114","G7","Group",6,54.8
