"","Condition","Session","Generation","Story","ID","Joint","Pillar","PilDivStr","JoiDivStr"
"1","Group","G1",2,2,1,4,7,3.5,2
"2","Group","G1",2,2,2,4,8,4,2
"3","Group","G1",3,3,1,5,6,2,1.66666666666667
"4","Group","G1",3,3,2,4,6,2,1.33333333333333
"5","Group","G1",4,4,1,6,6,1.5,1.5
"6","Group","G1",4,4,2,6,8,2,1.5
"7","Group","G1",5,2,1,8,6,3,4
"8","Group","G1",5,2,2,5,6,3,2.5
"9","Group","G1",6,2,1,4,4,2,2
"10","Group","G1",6,2,2,4,7,3.5,2
"11","Group","G2",1,1,1,1,5,5,1
"12","Group","G2",1,1,2,1,5,5,1
"13","Group","G2",2,2,1,2,4,2,1
"14","Group","G2",2,2,2,2,5,2.5,1
"15","Group","G2",3,1,1,1,2,2,1
"16","Group","G2",3,1,2,1,2,2,1
"17","Group","G2",4,3,1,3,3,1,1
"18","Group","G2",4,3,2,3,3,1,1
"19","Group","G2",5,3,1,5,4,1.33333333333333,1.66666666666667
"20","Group","G2",5,3,2,5,4,1.33333333333333,1.66666666666667
"21","Group","G2",6,1,1,1,1,1,1
"22","Group","G2",6,1,2,1,1,1,1
"23","Group","G3",1,3,1,3,3,1,1
"24","Group","G3",1,3,2,3,3,1,1
"25","Group","G3",2,2,1,2,2,1,1
"26","Group","G3",2,2,2,1,1,0.5,0.5
"27","Group","G3",3,2,1,4,2,1,2
"28","Group","G3",3,2,2,4,2,1,2
"29","Group","G3",4,2,1,3,2,1,1.5
"30","Group","G3",4,2,2,3,2,1,1.5
"31","Group","G3",5,4,1,4,4,1,1
"32","Group","G3",5,4,2,3,3,0.75,0.75
"33","Group","G3",6,3,1,4,3,1,1.33333333333333
"34","Group","G3",6,3,2,3,3,1,1
"35","Group","G4",1,1,1,6,10,10,6
"36","Group","G4",1,1,2,6,10,10,6
"37","Group","G4",2,2,1,3,9,4.5,1.5
"38","Group","G4",2,2,2,3,9,4.5,1.5
"39","Group","G4",3,3,1,5,6,2,1.66666666666667
"40","Group","G4",3,3,2,7,6,2,2.33333333333333
"41","Group","G4",4,2,1,2,2,1,1
"42","Group","G4",4,2,2,2,2,1,1
"43","Group","G4",6,3,1,3,5,1.66666666666667,1
"44","Group","G4",6,3,2,3,5,1.66666666666667,1
"45","Group","G5",1,1,1,3,1,1,3
"46","Group","G5",1,1,2,2,1,1,2
"47","Group","G5",2,2,1,5,2,1,2.5
"48","Group","G5",2,2,2,4,2,1,2
"49","Group","G5",4,2,1,2,2,1,1
"50","Group","G5",4,2,2,2,2,1,1
"51","Group","G5",5,3,1,4,3,1,1.33333333333333
"52","Group","G5",5,3,2,4,3,1,1.33333333333333
"53","Group","G5",6,3,1,4,3,1,1.33333333333333
"54","Group","G5",6,3,2,4,3,1,1.33333333333333
"55","Group","G6",1,2,1,2,4,2,1
"56","Group","G6",1,2,2,2,4,2,1
"57","Group","G6",2,2,1,3,4,2,1.5
"58","Group","G6",2,2,2,3,4,2,1.5
"59","Group","G6",3,2,1,4,5,2.5,2
"60","Group","G6",3,2,2,4,5,2.5,2
"61","Group","G6",4,2,1,3,5,2.5,1.5
"62","Group","G6",4,2,2,3,6,3,1.5
"63","Group","G6",5,3,1,5,4,1.33333333333333,1.66666666666667
"64","Group","G6",5,3,2,5,5,1.66666666666667,1.66666666666667
"65","Group","G6",6,3,1,5,4,1.33333333333333,1.66666666666667
"66","Group","G6",6,3,2,5,3,1,1.66666666666667
"67","Group","G7",2,2,1,4,4,2,2
"68","Group","G7",2,2,2,4,4,2,2
"69","Group","G7",3,2,1,2,6,3,1
"70","Group","G7",3,2,2,4,6,3,2
"71","Group","G7",4,3,1,4,3,1,1.33333333333333
"72","Group","G7",4,3,2,3,3,1,1
"73","Group","G7",5,2,1,3,2,1,1.5
