"","Condition","GroupPair","StartStruc","Session","Generation","Height"
"1","Gr-C","Group","Complex",6,1,45.5
"2","Gr-C","Group","Complex",7,1,45
"3","Gr-C","Group","Complex",13,1,23
"4","Gr-C","Group","Complex",15,1,49
"5","Gr-C","Group","Complex",21,1,82
"6","Gr-C","Group","Complex",23,1,25
"7","Gr-C","Group","Complex",25,1,46
"8","Gr-S","Group","Simple",8,1,49
"9","Gr-S","Group","Simple",18,1,80
"10","Gr-S","Group","Simple",20,1,78
"11","Gr-S","Group","Simple",24,1,102
"12","Pr-C","Pair","Complex",4,1,22.5
"13","Pr-C","Pair","Complex",9,1,24
"14","Pr-C","Pair","Complex",17,1,21.5
"15","Pr-C","Pair","Complex",29,1,44
"16","Pr-C","Pair","Complex",31,1,49
"17","Pr-C","Pair","Complex",33,1,24
"18","Pr-C","Pair","Complex",36,1,49
"19","Pr-C","Pair","Complex",38,1,53
"20","Pr-C","Pair","Complex",40,1,29
"21","Pr-S","Pair","Simple",5,1,79
"22","Pr-S","Pair","Simple",26,1,51
"23","Pr-S","Pair","Simple",28,1,81
"24","Pr-S","Pair","Simple",30,1,55
"25","Pr-S","Pair","Simple",32,1,79
"26","Pr-S","Pair","Simple",34,1,104
"27","Pr-S","Pair","Simple",35,1,106
"28","Pr-S","Pair","Simple",41,1,23.5
"29","Gr-C","Group","Complex",7,2,31
"30","Gr-C","Group","Complex",15,2,76
"31","Gr-C","Group","Complex",19,2,76
"32","Gr-C","Group","Complex",21,2,83
"33","Gr-C","Group","Complex",23,2,70
"34","Gr-S","Group","Simple",8,2,105
"35","Gr-S","Group","Simple",14,2,48
"36","Gr-S","Group","Simple",16,2,78
"37","Gr-S","Group","Simple",22,2,53
"38","Gr-S","Group","Simple",24,2,81
"39","Pr-C","Pair","Complex",4,2,77
"40","Pr-C","Pair","Complex",9,2,48
"41","Pr-C","Pair","Complex",17,2,48
"42","Pr-C","Pair","Complex",31,2,77
"43","Pr-C","Pair","Complex",33,2,45
"44","Pr-C","Pair","Complex",36,2,73
"45","Pr-C","Pair","Complex",37,2,47
"46","Pr-C","Pair","Complex",38,2,31
"47","Pr-C","Pair","Complex",40,2,30
"48","Pr-S","Pair","Simple",5,2,81
"49","Pr-S","Pair","Simple",26,2,52.5
"50","Pr-S","Pair","Simple",28,2,87.5
"51","Pr-S","Pair","Simple",34,2,107
"52","Pr-S","Pair","Simple",41,2,71
"53","Gr-C","Group","Complex",6,3,55
"54","Gr-C","Group","Complex",7,3,27.5
"55","Gr-C","Group","Complex",11,3,77
"56","Gr-C","Group","Complex",13,3,51
"57","Gr-C","Group","Complex",15,3,77
"58","Gr-C","Group","Complex",21,3,105
"59","Gr-C","Group","Complex",23,3,81.5
"60","Gr-C","Group","Complex",25,3,77
"61","Gr-S","Group","Simple",12,3,75
"62","Gr-S","Group","Simple",18,3,107
"63","Gr-S","Group","Simple",20,3,81
"64","Gr-S","Group","Simple",24,3,106
"65","Pr-C","Pair","Complex",17,3,22
"66","Pr-C","Pair","Complex",29,3,23
"67","Pr-C","Pair","Complex",31,3,70
"68","Pr-C","Pair","Complex",33,3,96
