"","PhotoID","Order","Condition","GroupPair","StartStruc","Session","Generation","Story","ID","Pillar","Joint"
"1","111.3.2.3",111,3,"Pair","Simple",2,3,3,2,3,3
"2","111.3.2.3",111,3,"Pair","Simple",2,3,3,3,3,3
"3","3.3.2.5",3,3,"Pair","Simple",2,5,3,1,3,3
"4","3.3.2.5",3,3,"Pair","Simple",2,5,3,3,3,4
"5","2.3.2.6",2,3,"Pair","Simple",2,6,4,1,4,4
"6","2.3.2.6",2,3,"Pair","Simple",2,6,4,3,4,4
"7","36.4.4.1",36,4,"Pair","Complex",4,1,1,1,11,7
"8","36.4.4.1",36,4,"Pair","Complex",4,1,1,3,11,7
"9","99.4.4.2",99,4,"Pair","Complex",4,2,3,1,3,3
"10","99.4.4.2",99,4,"Pair","Complex",4,2,3,2,3,3
"11","120.4.4.4",120,4,"Pair","Complex",4,4,4,2,4,4
"12","120.4.4.4",120,4,"Pair","Complex",4,4,4,3,4,4
"13","68.4.4.5",68,4,"Pair","Complex",4,5,4,1,4,4
"14","68.4.4.5",68,4,"Pair","Complex",4,5,4,2,5,4
"15","92.3.5.1",92,3,"Pair","Simple",5,1,3,1,3,5
"16","92.3.5.1",92,3,"Pair","Simple",5,1,3,2,3,5
"17","59.3.5.2",59,3,"Pair","Simple",5,2,3,1,3,6
"18","59.3.5.2",59,3,"Pair","Simple",5,2,3,2,3,6
"19","86.3.5.3",86,3,"Pair","Simple",5,3,4,1,4,8
"20","86.3.5.3",86,3,"Pair","Simple",5,3,4,2,4,8
"21","62.3.5.6",62,3,"Pair","Simple",5,6,4,1,4,7
"22","62.3.5.6",62,3,"Pair","Simple",5,6,4,2,4,7
"23","14.2.6.1",14,2,"Group","Complex",6,1,2,1,19,9
"24","14.2.6.1",14,2,"Group","Complex",6,1,2,3,19,9
"25","13.2.6.3",13,2,"Group","Complex",6,3,2,1,2,3
"26","13.2.6.3",13,2,"Group","Complex",6,3,2,3,2,3
"27","46.2.6.4",46,2,"Group","Complex",6,4,3,1,3,4
"28","46.2.6.4",46,2,"Group","Complex",6,4,3,3,3,4
"29","139.2.6.6",139,2,"Group","Complex",6,6,4,2,4,7
"30","139.2.6.6",139,2,"Group","Complex",6,6,4,3,4,4
"31","39.2.7.1",39,2,"Group","Complex",7,1,2,1,21,9
"32","39.2.7.1",39,2,"Group","Complex",7,1,2,3,21,9
"33","126.2.7.2",126,2,"Group","Complex",7,2,2,2,24,11
"34","126.2.7.2",126,2,"Group","Complex",7,2,2,3,16,11
"35","108.2.7.3",108,2,"Group","Complex",7,3,1,2,9,8
"36","108.2.7.3",108,2,"Group","Complex",7,3,1,3,9,8
"37","25.2.7.4",25,2,"Group","Complex",7,4,2,1,10,3
"38","25.2.7.4",25,2,"Group","Complex",7,4,2,3,10,3
"39","134.2.7.5",134,2,"Group","Complex",7,5,3,2,6,3
"40","134.2.7.5",134,2,"Group","Complex",7,5,3,3,4,3
"41","9.2.7.6",9,2,"Group","Complex",7,6,3,1,3,3
"42","9.2.7.6",9,2,"Group","Complex",7,6,3,3,3,3
"43","50.1.8.1",50,1,"Group","Simple",8,1,2,1,2,2
"44","50.1.8.1",50,1,"Group","Simple",8,1,2,3,2,2
"45","112.1.8.2",112,1,"Group","Simple",8,2,4,2,4,4
"46","112.1.8.2",112,1,"Group","Simple",8,2,4,3,4,4
"47","147.1.8.4",147,1,"Group","Simple",8,4,3,2,4,4
"48","147.1.8.4",147,1,"Group","Simple",8,4,3,3,3,3
"49","79.1.8.5",79,1,"Group","Simple",8,5,2,1,4,4
"50","79.1.8.5",79,1,"Group","Simple",8,5,2,2,5,7
"51","66.1.8.6",66,1,"Group","Simple",8,6,3,1,6,3
"52","66.1.8.6",66,1,"Group","Simple",8,6,3,2,5,4
"53","136.4.9.1",136,4,"Pair","Complex",9,1,1,2,14,7
"54","136.4.9.1",136,4,"Pair","Complex",9,1,1,3,12,6
"55","23.4.9.2",23,4,"Pair","Complex",9,2,2,1,15,7
"56","23.4.9.2",23,4,"Pair","Complex",9,2,2,3,16,8
"57","58.4.9.5",58,4,"Pair","Complex",9,5,2,1,15,7
"58","58.4.9.5",58,4,"Pair","Complex",9,5,2,2,19,8
"59","17.4.9.6",17,4,"Pair","Complex",9,6,2,1,14,7
"60","17.4.9.6",17,4,"Pair","Complex",9,6,2,3,14,8
"61","122.1.10.4",122,1,"Group","Simple",10,4,4,2,7,6
"62","122.1.10.4",122,1,"Group","Simple",10,4,4,3,7,6
"63","33.1.10.5",33,1,"Group","Simple",10,5,3,1,7,7
"64","33.1.10.5",33,1,"Group","Simple",10,5,3,3,7,8
"65","65.2.11.3",65,2,"Group","Complex",11,3,3,1,9,5
"66","65.2.11.3",65,2,"Group","Complex",11,3,3,2,9,5
"67","98.2.11.4",98,2,"Group","Complex",11,4,3,1,8,6
"68","98.2.11.4",98,2,"Group","Complex",11,4,3,2,9,6
"69","71.2.11.5",71,2,"Group","Complex",11,5,2,1,7,4
